id,Videocard Name,Passmark G3D Mark(higher is better),Rank(lower is better),Videocard Value(higher is better),Price(USD)
2234,Radeon Ryzen 3 PRO 7335U,1992,866,NA,NA
2235,Radeon Ryzen 5 3450U,1114,1178,NA,NA
2236,Radeon Ryzen 5 3550H,1730,952,NA,NA
2237,Radeon Ryzen 5 4600GE with Radeon Graphics,2249,793,NA,NA
2238,Radeon Ryzen 5 5500GT,2492,732,NA,NA
2239,Radeon Ryzen 5 5500U,2042,845,NA,NA
2240,Radeon Ryzen 5 5560U,2031,849,NA,NA
2241,Radeon Ryzen 5 5600GE,2471,735,NA,NA
2242,Radeon Ryzen 5 5600GT,2429,740,NA,NA
2243,Radeon Ryzen 5 5600H,2423,742,NA,NA
2244,Radeon Ryzen 5 5600U,2099,831,NA,NA
2245,Radeon Ryzen 5 5625U,2119,824,NA,NA
2246,Radeon Ryzen 5 6600H,3462,598,NA,NA
2247,Radeon Ryzen 5 6600HS Creator Edition,3766,562,NA,NA
2248,Radeon Ryzen 5 6600U,3318,611,NA,NA
2249,Radeon Ryzen 5 7430U,2547,721,NA,NA
2250,Radeon Ryzen 5 7530U,2231,795,NA,NA
2251,Radeon Ryzen 5 7533HS,3523,589,NA,NA
2252,Radeon Ryzen 5 7535HS,3109,643,NA,NA
2253,Radeon Ryzen 5 7535U,3165,633,NA,NA
2254,Radeon Ryzen 5 7600 6-Core,1737,949,NA,NA
2255,Radeon Ryzen 5 7600X 6-Core,1698,967,NA,NA
2256,Radeon Ryzen 5 7600X3D 6-Core,1869,907,NA,NA
2257,Radeon Ryzen 5 Microsoft Surface Edition,2052,843,NA,NA
2258,Radeon Ryzen 5 PRO 4400G,2276,780,NA,NA
2259,Radeon Ryzen 5 PRO 4655G,2184,807,NA,NA
2260,Radeon Ryzen 5 PRO 4655GE,2361,756,NA,NA
2261,Radeon Ryzen 5 PRO 5650G,2282,778,NA,NA
2262,Radeon Ryzen 5 PRO 5650GE,2320,768,NA,NA
2263,Radeon Ryzen 5 PRO 5655G,2567,717,NA,NA
2264,Radeon Ryzen 5 PRO 5655GE,1801,933,NA,NA
2265,Radeon Ryzen 5 PRO 5675U,1915,893,NA,NA
2266,Radeon Ryzen 5 PRO 6650H,2678,700,NA,NA
2267,Radeon Ryzen 5 PRO 6650U,3660,576,NA,NA
2268,Radeon Ryzen 5 Pro 7535U,2986,654,NA,NA
2269,Radeon Ryzen 5 PRO 7645 6-Core,1501,1045,NA,NA
2270,Radeon Ryzen 7 3700U,1301,1106,NA,NA
2271,Radeon Ryzen 7 4700G,2583,713,NA,NA
2272,Radeon Ryzen 7 4700GE,2595,709,NA,NA
2273,Radeon Ryzen 7 4700U,2035,847,NA,NA
2274,Radeon Ryzen 7 4800H,3285,615,NA,NA
2275,Radeon Ryzen 7 4800HS,3177,630,NA,NA
2276,Radeon Ryzen 7 4800U,2321,767,NA,NA
2277,Radeon Ryzen 7 5700U,2258,790,NA,NA
2278,Radeon Ryzen 7 5800H,2821,674,NA,NA
2279,Radeon Ryzen 7 5800HS,2539,724,NA,NA
2280,Radeon Ryzen 7 5800U,2403,745,NA,NA
2281,Radeon Ryzen 7 5825U,2393,747,NA,NA
2282,Radeon Ryzen 7 6800H,4995,464,NA,NA
2283,Radeon Ryzen 7 6800HS,6025,387,NA,NA
2284,Radeon Ryzen 7 6800HS Creator Edition,5362,427,NA,NA
2285,Radeon Ryzen 7 6800U,4514,504,NA,NA
2286,Radeon Ryzen 7 6810U,5937,390,NA,NA
2287,Radeon Ryzen 7 7700 8-Core,1781,939,NA,NA
2288,Radeon Ryzen 7 7700X 8-Core,1969,876,NA,NA
2289,Radeon Ryzen 7 7730U,2418,743,NA,NA
2290,Radeon Ryzen 7 7735H,5334,431,NA,NA
2291,Radeon Ryzen 7 7735HS,5052,460,NA,NA
2292,Radeon Ryzen 7 7735U,4743,488,NA,NA
2293,Radeon Ryzen 7 7736U,5818,394,NA,NA
2294,Radeon Ryzen 7 7800X3D 8-Core,1783,938,NA,NA
2295,Radeon Ryzen 7 Microsoft Surface Edition,2275,781,NA,NA
2296,Radeon Ryzen 7 PRO 4750G,2496,730,NA,NA
2297,Radeon Ryzen 7 PRO 4750GE,2379,752,NA,NA
2298,Radeon Ryzen 7 PRO 4750U,2022,852,NA,NA
2299,Radeon Ryzen 7 PRO 5755GE,2117,825,NA,NA
2300,Radeon Ryzen 7 PRO 5875U,2146,814,NA,NA
2301,Radeon Ryzen 7 PRO 6850H,5368,426,NA,NA
2302,Radeon Ryzen 7 PRO 6850HS,5057,459,NA,NA
2303,Radeon Ryzen 7 PRO 6850U,5108,455,NA,NA
2304,Radeon Ryzen 7 PRO 6860Z,4558,499,NA,NA
