,品牌,名稱,型號,瓦數,適用機殼尺寸類型,模組化,價格
56,,振華 BRONZE KING II 400W/銅牌/5年保,BRONZE,400,ATX,0,1250
57,,振華 BRONZE KING II PLUS 650W 雙8/銅牌/5年保,BRONZE,650,ATX,0,1790
58,,振華 LEADEX III 750W 雙8/金牌/全模/ATX3.1,LEADEX,750,ATX,2,3090
59,,振華 LEADEX III 850W 雙8/金牌/全模/ATX3.1,LEADEX,850,ATX,2,3490
60,,振華 LEADEX III 1000W 雙8/金牌/全模/ATX3.1,LEADEX,1000,ATX,2,4490
61,,振華 COMBAT SG 550W 金牌/半模/ATX3.1/主日系/FDB風扇/7年保,COMBAT,550,ATX,1,2190
62,,振華 COMBAT SG 850W 雙8/金牌/半模/ATX3.1,COMBAT,850,ATX,1,2990
63,,振華 COMBAT FG 650W 黑色 雙8/金牌/全模/ATX3.1,COMBAT,650,ATX,2,2690
64,,振華 COMBAT FG 650W 白色 雙8/金牌/全模/ATX3.1,COMBAT,650,ATX,2,2790
65,,振華 COMBAT FG 750W 白色 雙8/金牌/全模/ATX3.1,COMBAT,750,ATX,2,3190
66,,振華 COMBAT FG 850W 白色 雙8/金牌/全模/ATX3.1,COMBAT,850,ATX,2,3590
67,,振華 LEADEX VII 1300W 雙8/金牌/全模/ATX3.0,LEADEX,1300,ATX,2,6690
68,,振華 LEADEX VII 1300W 白色 雙8/金牌/全模/ATX3.0,LEADEX,1300,ATX,2,6890
69,,振華 LEADEX VII PRO 850W 雙8/白金/全模/ATX3.1,LEADEX,850,ATX,2,4390
70,,振華 LEADEX VII PRO 850W 白色 雙8/白金/全模/ATX3.1,LEADEX,850,ATX,2,4590
71,,振華 LEADEX VII PRO 1000W 雙8/白金/全模/ATX3.1,LEADEX,1000,ATX,2,4990
72,,振華 LEADEX VII PRO 1000W 白色 雙8/白金/全模/ATX3.1,LEADEX,1000,ATX,2,5190
73,,振華 LEADEX VII PRO 1200W 雙8/白金/全模/ATX3.1,LEADEX,1200,ATX,2,6990
74,,振華 LEADEX VII PRO 1200W 白色 雙8/白金/全模/ATX3.1,LEADEX,1200,ATX,2,7190
75,,海韻 S12III-500W 銅牌/智慧溫控風扇/5年保,S12III-500W,500,ATX,0,1550
76,,海韻 S12III-550W 銅牌/智慧溫控風扇/5年保,S12III-550W,550,ATX,0,1750
77,,海韻 S12III-650W 銅牌/智慧溫控風扇/5年保,S12III-650W,650,ATX,0,1950
78,,海韻 G12 GC-550,G12,550,ATX,0,1990
79,,海韻 CORE GX-650 ATX3,CORE,650,ATX,2,2990
80,,海韻 CORE GX-750 ATX3,CORE,750,ATX,2,3290
81,,海韻 CORE GX-850 ATX3,CORE,850,ATX,2,3790
82,,海韻 CORE GX-650 ATX3,CORE,650,ATX,2,3090
83,,海韻 CORE GX-750 ATX3,CORE,750,ATX,2,3390
