,coolpc_id,coolpc_name,benchmark_name,mark,rank,value,benchmark_price
296,45,Intel Xeon W9-3475X,347,AMD Athlon Silver 3050U,"2,953",2705,nan
297,45,Intel Xeon W9-3475X,475,AMD EPYC 7281,"21,621",696,28.72
298,45,Intel Xeon W9-3475X,3475,Intel Pentium N3530 @ 2.16GHz,"1,182",3843,nan
299,46,AMD R5 3400G,0,AArch64,833,4213,nan
300,46,AMD R5 3400G,3,AC8257V/WAB,788,4263,nan
301,46,AMD R5 3400G,4,AC8259V/WAB,910,4124,nan
302,46,AMD R5 3400G,5,Allwinner A133,668,4413,nan
303,46,AMD R5 3400G,34,AMD A10-7400P,"2,120",3163,nan
304,46,AMD R5 3400G,40,AMD A10-7890K,"3,550",2452,26.07
305,46,AMD R5 3400G,340,AMD Athlon PRO 200GE,"3,816",2365,nan
306,46,AMD R5 3400G,400,AMD Athlon XP 2700+,256,4915,3.02
307,46,AMD R5 3400G,3400,Intel Pentium G640 @ 2.80GHz,"1,369",3677,72.04
308,47,AMD R5 5500GT,0,AArch64,833,4213,nan
309,47,AMD R5 5500GT,5,Allwinner A133,668,4413,nan
310,47,AMD R5 5500GT,50,AMD A12-9720P,"2,639",2855,nan
311,47,AMD R5 5500GT,55,AMD A4 PRO-3340B,"1,709",3431,nan
312,47,AMD R5 5500GT,500,AMD EPYC 74F3,"60,666",111,29.05
313,47,AMD R5 5500GT,550,AMD EPYC 8434P,"66,490",85,nan
314,48,AMD R5 5600GT,0,AArch64,833,4213,nan
315,48,AMD R5 5600GT,5,Allwinner A133,668,4413,nan
316,48,AMD R5 5600GT,6,Allwinner A523,"1,906",3297,nan
317,48,AMD R5 5600GT,56,AMD A4 PRO-7300B APU,"1,458",3610,nan
318,48,AMD R5 5600GT,60,AMD A4-1350 APU,911,4122,nan
319,48,AMD R5 5600GT,560,AMD EPYC 9274F,"73,982",65,27.24
320,48,AMD R5 5600GT,600,AMD FX-4300 Quad-Core,"2,990",2691,62.27
321,49,AMD R5 5600X,0,AArch64,833,4213,nan
322,49,AMD R5 5600X,5,Allwinner A133,668,4413,nan
323,49,AMD R5 5600X,6,Allwinner A523,"1,906",3297,nan
324,49,AMD R5 5600X,56,AMD A4 PRO-7300B APU,"1,458",3610,nan
325,49,AMD R5 5600X,60,AMD A4-1350 APU,911,4122,nan
326,49,AMD R5 5600X,560,AMD EPYC 9274F,"73,982",65,27.24
327,49,AMD R5 5600X,600,AMD FX-4300 Quad-Core,"2,990",2691,62.27
328,50,AMD R7 5700X,0,AArch64,833,4213,nan
329,50,AMD R7 5700X,5,Allwinner A133,668,4413,nan
